track,artist,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,stream,views,likes,comments,tiktok_views,tiktok_posts,release_date,tiktok_likes
fruit punch (feat. brevi & james savage),xzibit,serial killers: day of the dead,0.851,0.566,11.0,-2.851,0.408,0.301,0.0,0.0683,0.584,133.012,181.918,4484927.0,1182910.0,19162.0,194.0,,,,
u know (feat. dr. dre),xzibit,restless,0.691,0.709,8.0,-5.489,0.235,0.0529,0.0122,0.388,0.558,89.922,206.427,6884693.0,1179695.0,10492.0,487.0,,,,
concerning hobbits,howard shore,the lord of the rings: the fellowship of the ring (original motion picture soundtrack),0.488,0.0629,2.0,-21.524,0.0342,0.843,0.406,0.133,0.175,104.311,175.04,91669566.0,345701.0,4817.0,223.0,,,,
"the council of elrond (feat. ""aniron"") [theme for aragorn and arwen]",howard shore,the lord of the rings: the fellowship of the ring (original motion picture soundtrack),0.104,0.111,1.0,-20.031,0.0517,0.979,0.926,0.11,0.039,83.933,229.107,60149733.0,1093348.0,13982.0,38.0,,,,
the shire,howard shore,the lord of the rings: the fellowship of the ring - the complete recordings,0.45,0.0142,2.0,-23.669,0.0371,0.943,0.196,0.101,0.158,92.137,149.48,20351119.0,24657399.0,246329.0,17043.0,,,,
"the breaking of the fellowship (feat. ""in dreams"")",howard shore,the lord of the rings: the fellowship of the ring (original motion picture soundtrack),0.131,0.137,2.0,-20.553,0.0387,0.934,0.485,0.087,0.0465,78.577,440.8,63575826.0,4354202.0,42568.0,396.0,,,,
feast of starlight,howard shore,the hobbit: the desolation of smaug (original motion picture soundtrack) [special edition],0.18,0.0385,2.0,-26.987,0.0425,0.984,0.977,0.116,0.035,134.666,168.0,,784862.0,7293.0,574.0,,,,
evenstar,howard shore,the lord of the rings: the two towers (original motion picture soundtrack),0.122,0.0407,4.0,-26.194,0.0457,0.96,0.847,0.104,0.0342,74.418,195.6,31225994.0,2857432.0,37513.0,106.0,,,,
many meetings,howard shore,the lord of the rings: the fellowship of the ring (original motion picture soundtrack),0.0623,0.1,0.0,-20.607,0.0459,0.982,0.934,0.116,0.0359,64.791,185.427,19786877.0,530236.0,5786.0,21.0,,,,
the bridge of khazad dum,howard shore,the lord of the rings: the fellowship of the ring (original motion picture soundtrack),0.299,0.492,5.0,-13.19,0.0544,0.36,0.905,0.202,0.0365,84.204,357.4,24971485.0,393105.0,5051.0,379.0,,,,
bag end,howard shore,the lord of the rings: the fellowship of the ring - the complete recordings,0.377,0.0475,2.0,-23.78,0.04,0.876,0.545,0.311,0.114,104.002,275.56,7065608.0,1755.0,29.0,0.0,,,,
the battle of the pelennor fields,howard shore,the lord of the rings - the return of the king - the complete recordings (limited edition),0.175,0.399,4.0,-14.865,0.0501,0.473,0.959,0.0799,0.069,120.942,250.04,13021858.0,2912709.0,30150.0,163.0,,,,
into you (feat. tamia),fabolous,street dreams (bonus track),0.546,0.538,7.0,-7.886,0.0523,0.233,0.0,0.118,0.58,182.12,295.773,221969696.0,59966857.0,409341.0,10281.0,,,,
can't let you go (feat. mike shorey & lil' mo),fabolous,street dreams (bonus track),0.646,0.6,9.0,-6.569,0.458,0.231,0.0,0.0794,0.811,192.082,223.973,85799869.0,11734533.0,104425.0,1695.0,,,,
make me better,fabolous,from nothin' to somethin' (bonus track version),0.607,0.599,11.0,-6.886,0.0995,0.33,0.0,0.199,0.562,86.491,253.573,58585771.0,54435079.0,393105.0,9144.0,,,,
throw it in the bag,fabolous,loso's way,0.789,0.55,11.0,-7.423,0.0473,0.174,0.0,0.0614,0.696,172.049,231.573,45735566.0,28125075.0,153682.0,5499.0,,,,
into you,fabolous,mr loverman,0.722,0.567,7.0,-8.227,0.0294,0.198,0.0,0.0743,0.634,91.911,274.387,89179982.0,59966857.0,409341.0,10281.0,,,,
breathe,fabolous,real talk (123),0.713,0.91,10.0,-5.586,0.282,0.34,0.0,0.304,0.51,83.028,268.96,44076614.0,5626184.0,58405.0,2528.0,,,,
you be killin em,fabolous,there is no competition 2: the grieving music mixtape,0.664,0.909,6.0,-3.552,0.22,0.444,0.0,0.525,0.557,93.977,209.693,41565974.0,19478339.0,106266.0,5567.0,,,,
"trade it all, pt. 2 (feat. p. diddy & jagged edge)",fabolous,street dreams (bonus track),0.819,0.778,1.0,-5.839,0.21,0.029,0.0,0.215,0.779,96.72,275.267,20407932.0,22998122.0,159414.0,4606.0,,,,
my time,fabolous,loso's way,0.595,0.819,0.0,-6.186,0.143,0.192,0.0,0.0588,0.498,179.9,240.053,32635424.0,23896592.0,88887.0,4513.0,,,,
bach to bach (with dave east),fabolous,bach to bach,0.468,0.576,1.0,-7.782,0.419,0.0746,0.0,0.109,0.0898,85.735,174.514,1902260.0,3249942.0,50645.0,2307.0,,,,
fml,arizona zervas,living facts,0.822,0.575,5.0,-5.95,0.0934,0.113,0.0,0.106,0.616,100.087,223.0,280174877.0,4203047.0,107946.0,1881.0,,,,
nightrider,arizona zervas,nightrider,0.66,0.755,0.0,-4.501,0.0469,0.0876,0.0,0.102,0.862,145.948,156.368,75937143.0,3636781.0,71323.0,1860.0,,,,
2 am,arizona zervas,2 am,0.673,0.487,1.0,-7.011,0.239,0.279,0.0,0.144,0.192,160.216,133.989,5088130.0,113083.0,3838.0,241.0,,,,
drinking problem (feat. 27club),arizona zervas,drinking problem (feat. 27club),0.514,0.712,2.0,-7.281,0.334,0.428,8.77e-06,0.112,0.487,76.393,155.893,60112351.0,2423620.0,37790.0,925.0,,,,
no i in team,arizona zervas,no i in team,0.74,0.592,1.0,-5.003,0.0879,0.0173,0.0,0.276,0.379,140.093,181.714,91830232.0,2635717.0,50487.0,1740.0,,,,
band$,arizona zervas,band$,0.707,0.591,8.0,-5.878,0.0705,0.015,0.0,0.27,0.645,149.982,108.072,6616666.0,279778.0,8124.0,394.0,,,,
oh my lord (feat. 24kgoldn),arizona zervas,oh my lord (feat. 24kgoldn),0.8,0.525,6.0,-6.519,0.274,0.252,0.0,0.142,0.553,93.983,147.023,7484046.0,384287.0,14600.0,488.0,,,,
on ten,arizona zervas,on ten,0.771,0.741,4.0,-5.59,0.0527,0.0554,0.0,0.31,0.712,162.037,137.722,3687175.0,229966.0,7832.0,276.0,,,,
rage,arizona zervas,rage,0.85,0.629,3.0,-6.909,0.187,0.0876,0.0,0.11,0.434,90.011,148.827,2147957.0,46689.0,2242.0,133.0,,,,
yap bi gã¼zellik,tarkan,yap bi gã¼zellik,0.799,0.752,10.0,-4.351,0.0579,0.0822,1.16e-05,0.0948,0.704,91.995,187.033,22646392.0,15374901.0,104473.0,6081.0,,,,
åä±marä±k,tarkan,ãlã¼rã¼m sana,0.775,0.818,7.0,-8.687,0.164,0.0518,0.0,0.114,0.826,97.06,235.218,79172865.0,459977.0,3345.0,152.0,,,,
son durak,tarkan,son durak,0.6,0.721,0.0,-6.041,0.167,0.212,0.0,0.109,0.527,142.013,234.044,4933755.0,4252720.0,42432.0,3293.0,,,,
ãp,tarkan,adä±mä± kalbine yaz,0.783,0.749,1.0,-4.348,0.114,0.0393,0.0,0.0523,0.801,129.98,227.187,25577703.0,75426731.0,359843.0,14517.0,,,,
adä±mä± kalbine yaz,tarkan,adä±mä± kalbine yaz,0.745,0.913,6.0,-3.362,0.0494,0.449,0.0,0.586,0.759,118.032,312.268,19016046.0,44496412.0,176998.0,7086.0,,,,
dudu,tarkan,dudu,0.707,0.864,4.0,-7.053,0.0463,0.0289,2.02e-05,0.0331,0.92,90.998,277.917,33359617.0,201665113.0,820442.0,36449.0,,,,
geã§ã§ek,tarkan,geã§ã§ek,0.671,0.835,7.0,-4.852,0.237,0.0751,0.0,0.18,0.714,179.979,194.908,21999909.0,73013978.0,1189311.0,105829.0,,,,
kuzu kuzu,tarkan,karma,0.705,0.883,4.0,-8.351,0.0508,0.0223,0.00834,0.0526,0.73,93.909,233.639,42490294.0,104850022.0,409509.0,23484.0,,,,
ä°åim olmaz,tarkan,adä±mä± kalbine yaz,0.668,0.799,5.0,-6.815,0.0361,0.251,1.17e-06,0.216,0.638,93.018,255.66,15586225.0,32601621.0,117241.0,3784.0,,,,
ãlã¼rã¼m sana,tarkan,ãlã¼rã¼m sana,0.753,0.926,9.0,-8.485,0.103,0.00718,2.28e-06,0.0407,0.79,92.015,246.457,31341387.0,45324507.0,147794.0,7599.0,,,,
alright,darius rucker,learn to live,0.601,0.806,7.0,-4.579,0.0345,0.0527,0.0,0.185,0.711,89.87,231.92,134076880.0,26566922.0,131662.0,5794.0,,,,
beers and sunshine,darius rucker,beers and sunshine,0.57,0.645,5.0,-5.816,0.0304,0.134,0.0,0.147,0.677,81.084,178.279,67830406.0,7444813.0,55461.0,1756.0,,,,
it won't be like this for long,darius rucker,learn to live,0.584,0.524,4.0,-6.001,0.0287,0.335,0.0,0.11,0.389,143.863,219.0,43379662.0,13676494.0,94790.0,2678.0,,,,
if i told you,darius rucker,when was the last time,0.532,0.64,9.0,-6.684,0.0314,0.344,0.0,0.361,0.308,84.029,212.32,103249259.0,50923360.0,294134.0,7278.0,,,,
come back song,darius rucker,"charleston, sc 1966",0.516,0.745,9.0,-5.674,0.0381,0.138,0.0,0.114,0.77,177.781,235.147,56266408.0,16908217.0,91592.0,3758.0,,,,
for the first time,darius rucker,when was the last time,0.547,0.804,6.0,-5.268,0.0361,0.00738,0.0,0.0308,0.666,142.016,197.053,82271085.0,10583322.0,59798.0,1093.0,,,,
don't think i don't think about it,darius rucker,learn to live,0.578,0.752,9.0,-5.264,0.033,0.0275,0.0,0.125,0.405,149.689,183.307,31933387.0,19857221.0,128981.0,3158.0,,,,
this,darius rucker,"charleston, sc 1966",0.625,0.826,4.0,-5.037,0.0325,0.121,0.0,0.158,0.699,99.919,218.867,38065206.0,380141359.0,1452145.0,58333.0,,,,
straight to hell,darius rucker,when was the last time,0.578,0.823,5.0,-4.47,0.0342,0.0435,0.0,0.767,0.435,115.114,253.787,22190374.0,31712784.0,154442.0,3711.0,,,,
seni yazdä±m,mã¼slã¼m gã¼rses,kã¼skã¼nã¼m,0.4,0.636,5.0,-6.946,0.0327,0.28,5.85e-05,0.151,0.478,92.416,276.0,38989064.0,132953839.0,517187.0,32027.0,,,,
nilã¼fer,mã¼slã¼m gã¼rses,aåk tesadã¼fleri sever (mucize ve buluåma),0.456,0.752,11.0,-7.366,0.0462,0.0404,1.11e-05,0.201,0.302,150.027,258.159,65383255.0,69732489.0,288150.0,22115.0,,,,
affet,mã¼slã¼m gã¼rses,aåk tesadã¼fleri sever (mucize ve buluåma),0.424,0.666,7.0,-6.683,0.0473,0.396,0.000169,0.12,0.275,160.079,279.475,59983028.0,42370836.0,221501.0,18830.0,,,,
unutamadä±m - kaã§ kadeh kä±rä±ldä±,mã¼slã¼m gã¼rses,kã¼skã¼nã¼m,0.353,0.672,8.0,-5.795,0.04,0.317,3.05e-05,0.0962,0.523,168.299,269.64,42766176.0,124780154.0,573887.0,49460.0,,,,
tutamä±yorum zamanä±,mã¼slã¼m gã¼rses,sandä±k,0.655,0.716,9.0,-4.965,0.0362,0.406,0.0,0.115,0.667,119.965,267.68,34799747.0,31694825.0,135228.0,3523.0,,,,
bir ãmã¼r yetmez,mã¼slã¼m gã¼rses,aåk tesadã¼fleri sever (mucize ve buluåma),0.501,0.691,6.0,-7.853,0.0385,0.0153,5.55e-06,0.186,0.369,94.833,242.416,14305311.0,10900869.0,63019.0,2489.0,,,,
sigara,mã¼slã¼m gã¼rses,yalan dã¼nya,0.5,0.74,6.0,-5.517,0.0588,0.393,0.0067,0.345,0.629,79.839,311.24,31060272.0,9233903.0,34581.0,1647.0,,,,
mutlu ol yeter,mã¼slã¼m gã¼rses,mutlu ol yeter (remastered),0.295,0.569,5.0,-5.845,0.0313,0.0484,0.0,0.148,0.378,162.735,265.653,18215343.0,16576310.0,121797.0,8802.0,,,,
gel bahtä±mä±n kar beyazä±,mã¼slã¼m gã¼rses,dã¼nya yalan,0.357,0.491,6.0,-7.036,0.0564,0.601,0.00863,0.0642,0.527,156.76,295.76,22340537.0,69598282.0,293264.0,18984.0,,,,
hangimiz sevmedik,mã¼slã¼m gã¼rses,senden vazgeã§mem,0.553,0.757,6.0,-8.496,0.0475,0.138,3.1e-06,0.0486,0.752,92.579,234.533,19277826.0,16173667.0,57640.0,2519.0,,,,
tãº con ãl,frankie ruiz,show,0.827,0.781,7.0,-5.914,0.0502,0.188,0.000759,0.249,0.961,95.411,302.253,153125767.0,112483.0,1240.0,18.0,,,,
deseã¡ndote,frankie ruiz,mas grande que nunca,0.559,0.838,5.0,-4.534,0.0484,0.492,0.0,0.179,0.927,95.519,281.187,116577039.0,616298.0,5757.0,168.0,,,,
desnãºdate mujer,frankie ruiz,voy pa'encima,0.658,0.744,7.0,-10.057,0.0365,0.128,2.39e-05,0.308,0.9,99.613,287.12,89917636.0,2615654.0,17298.0,321.0,,,,
mi libertad,frankie ruiz,show,0.838,0.723,5.0,-8.384,0.0447,0.195,0.0,0.0468,0.934,93.302,267.467,35390690.0,2006580.0,10953.0,537.0,,,,
la cura,frankie ruiz,serie platino: frankie ruã­z,0.808,0.513,4.0,-9.344,0.0435,0.751,0.000253,0.0516,0.877,92.545,297.947,31360068.0,123357.0,1497.0,61.0,,,,
tãº me vuelves loco,frankie ruiz,frankie ruiz la leyenda,0.786,0.752,7.0,-6.481,0.0323,0.384,0.0,0.0801,0.943,92.077,295.16,40193311.0,46646.0,596.0,19.0,,,,
la rueda,frankie ruiz,frankie ruiz la leyenda,0.727,0.904,5.0,-3.558,0.0338,0.419,3.99e-05,0.0738,0.945,104.036,382.733,32148399.0,14344105.0,50992.0,2805.0,,,,
quiero llenarte,frankie ruiz,voy pa'encima,0.618,0.717,8.0,-9.791,0.127,0.313,0.0,0.0555,0.841,93.339,269.573,15492450.0,11799356.0,41410.0,1050.0,,,,
si te entregas a mi,frankie ruiz,en vivo y... a todo color..!,0.644,0.741,7.0,-7.064,0.0343,0.644,1.08e-05,0.327,0.853,94.329,298.44,11078450.0,3879085.0,24072.0,586.0,,,,
esta cobardia,frankie ruiz,nacimiento y recuerdos,0.817,0.582,8.0,-8.562,0.0445,0.52,0.0,0.333,0.888,92.353,341.627,,6051.0,107.0,0.0,,,,
color esperanza 2020,ivete sangalo,color esperanza 2020,0.591,0.785,9.0,-7.768,0.161,0.161,0.0,0.126,0.785,106.002,217.547,89466323.0,24706323.0,557112.0,17598.0,,,,
cria da ivete - ao vivo,ivete sangalo,chega mais (ao vivo),0.766,0.918,0.0,-5.447,0.164,0.116,1.02e-06,0.305,0.842,135.958,237.798,1021261.0,2049307.0,20845.0,8044.0,,,,
tarada - ao vivo,ivete sangalo,tarada (ao vivo),0.716,0.898,7.0,-2.967,0.142,0.79,0.0,0.977,0.634,110.009,199.552,2635165.0,3164317.0,29449.0,1039.0,,,,
nã£o precisa mudar - ao vivo,ivete sangalo,multishow ao vivo no maracanã£,0.544,0.826,9.0,-7.103,0.0373,0.564,3.47e-05,0.452,0.663,90.046,229.587,32648923.0,21320919.0,173809.0,3283.0,,,,
sã³ love na cabeã§a - ao vivo,ivete sangalo,chega mais (ao vivo),0.552,0.871,7.0,-6.115,0.103,0.000973,0.0,0.657,0.643,171.917,200.898,277036.0,157596.0,5424.0,1179.0,,,,
"tã¡ solteira, mas nã£o tã¡ sozinha",ivete sangalo,"tã¡ solteira, mas nã£o tã¡ sozinha",0.757,0.899,2.0,-3.686,0.0464,0.125,1.88e-06,0.0526,0.731,112.047,174.566,13103184.0,16458129.0,211583.0,18812.0,,,,
sangrando,ivete sangalo,duetos 2,0.545,0.426,2.0,-8.346,0.0357,0.455,0.0,0.129,0.191,92.33,232.613,12751600.0,8254.0,174.0,1.0,,,,
rua da saudade - ao vivo,ivete sangalo,chega mais (ao vivo),0.518,0.83,11.0,-6.29,0.105,0.197,0.0,0.195,0.845,106.497,177.665,204842.0,142172.0,3498.0,736.0,,,,
se saia - ao vivo,ivete sangalo,chega mais (ao vivo),0.684,0.894,11.0,-5.448,0.0828,0.0146,1.4e-05,0.103,0.913,137.001,215.932,184188.0,65690.0,3038.0,511.0,,,,
batucada - ao vivo,ivete sangalo,chega mais (ao vivo),0.706,0.821,7.0,-6.138,0.172,0.0734,0.0,0.888,0.815,110.839,194.065,176621.0,62164.0,2589.0,271.0,,,,
if you're happy and you know it,the wiggles,the wiggles nursery rhymes,0.737,0.516,0.0,-5.829,0.357,0.565,0.0,0.424,0.961,125.511,92.854,21670780.0,25273855.0,,,,,,
hot potato,the wiggles,the best of the wiggles,0.56,0.883,0.0,-3.298,0.0516,0.0628,0.0,0.311,0.967,170.878,80.027,33048574.0,1432178.0,6540.0,0.0,,,,
rock-a-bye your bear,the wiggles,taking off!,0.776,0.61,9.0,-6.886,0.0378,0.275,0.0,0.18,0.721,120.274,86.675,38637496.0,22179631.0,,,,,,
"head, shoulders, knees and toes",the wiggles,the wiggles nursery rhymes,0.77,0.83,9.0,-5.472,0.0326,0.0562,0.000185,0.0308,0.98,126.089,118.751,17391527.0,20572365.0,,,,,,
miss polly had a dolly,the wiggles,emma!,0.852,0.509,2.0,-5.708,0.147,0.441,0.0,0.15,0.966,139.696,68.4,11714983.0,41901002.0,,,,,,
hot potato,the wiggles,yummy yummy,0.669,0.737,0.0,-7.974,0.0975,0.0289,0.0,0.204,0.948,170.925,81.067,36201096.0,1432178.0,6540.0,0.0,,,,
i'm a little teapot,the wiggles,the wiggles nursery rhymes,0.761,0.499,0.0,-6.578,0.0355,0.329,0.00428,0.0606,0.921,132.096,77.855,7564239.0,37360.0,71.0,0.0,,,,
abc,the wiggles,the wiggles nursery rhymes,0.631,0.713,2.0,-5.53,0.0274,0.0962,0.0244,0.0545,0.97,127.982,83.605,13896553.0,7038785.0,,,,,,
"twinkle, twinkle, little star",the wiggles,pumpkin face,0.275,0.401,2.0,-6.66,0.0297,0.532,0.000214,0.233,0.39,102.036,136.013,27571946.0,27536.0,92.0,0.0,,,,
do the propeller!,the wiggles,taking off!,0.663,0.865,0.0,-4.925,0.119,0.0954,0.000173,0.255,0.939,149.95,114.211,27064660.0,28891826.0,,,,,,
cowboy take me away,the chicks,fly,0.467,0.622,6.0,-7.255,0.031,0.365,0.00527,0.0982,0.455,164.418,287.267,150243461.0,35913657.0,178442.0,5125.0,,,,
wide open spaces,the chicks,wide open spaces,0.563,0.544,4.0,-6.102,0.0306,0.577,0.0,0.128,0.602,179.351,223.832,123015477.0,25187045.0,131215.0,3929.0,,,,
landslide,the chicks,home,0.571,0.438,2.0,-7.007,0.0279,0.534,1.56e-05,0.187,0.444,145.948,230.549,165791667.0,28865009.0,156816.0,6133.0,,,,
travelin' soldier,the chicks,home,0.569,0.365,9.0,-7.047,0.0265,0.691,0.0,0.17,0.508,145.859,343.497,84023468.0,49724135.0,157675.0,9767.0,,,,
there's your trouble,the chicks,wide open spaces,0.737,0.869,2.0,-5.433,0.0267,0.481,0.0,0.308,0.898,126.628,193.065,56842670.0,10632925.0,50591.0,1150.0,,,,
goodbye earl,the chicks,fly,0.705,0.7,0.0,-7.38,0.0295,0.0192,0.0,0.0755,0.765,122.841,258.64,64760847.0,41091105.0,215414.0,9774.0,,,,
not ready to make nice,the chicks,taking the long way,0.425,0.554,6.0,-4.145,0.0298,0.134,8.56e-05,0.0963,0.288,83.917,237.297,90359956.0,50053250.0,270886.0,16768.0,,,,
ready to run,the chicks,fly,0.644,0.644,7.0,-7.542,0.0305,0.245,0.00083,0.27,0.293,98.746,231.293,33854964.0,11492734.0,52377.0,1242.0,,,,
you were mine,the chicks,wide open spaces,0.542,0.346,9.0,-6.598,0.0296,0.342,0.0,0.283,0.173,139.856,217.807,36591794.0,25746822.0,147391.0,3605.0,,,,
gaslighter,the chicks,gaslighter,0.681,0.728,2.0,-7.317,0.0513,0.00624,0.0,0.055,0.693,131.017,203.467,42715377.0,8348966.0,100135.0,8175.0,,,,
el ultimo adiã³s - varios artistas version,yuri,el ultimo adiã³s,0.276,0.572,1.0,-7.818,0.0377,0.641,0.0,0.2,0.285,77.986,237.467,169769959.0,286491.0,1466.0,278.0,,,,
maldita primavera,yuri,solo lo mejor: 20 exitos,0.543,0.436,7.0,-8.198,0.029,0.756,2.26e-05,0.146,0.525,143.389,234.133,117176134.0,35917.0,495.0,20.0,,,,
ya no vives en mã­ (versiã³n pop) (feat. carlos rivera),yuri,ya no vives en mã­ (versiã³n pop) (feat. carlos rivera),0.526,0.703,9.0,-4.632,0.0297,0.109,2.24e-05,0.16,0.216,98.094,255.507,65777146.0,121914860.0,379970.0,9334.0,,,,
campana sobre campana,yuri,eterna navidad,0.726,0.768,0.0,-5.903,0.0261,0.00835,0.000487,0.72,0.452,110.008,158.88,13062367.0,2040204.0,13157.0,415.0,,,,
ven a cantar,yuri,eterna navidad,0.634,0.662,0.0,-8.299,0.0292,0.235,0.0,0.0413,0.375,111.638,239.8,17146691.0,3659018.0,28002.0,958.0,,,,
detrã¡s de mi ventana,yuri,canciones de amor... con las reinas,0.564,0.584,5.0,-6.934,0.028,0.117,0.000323,0.122,0.179,102.197,279.973,54482685.0,5727989.0,32096.0,786.0,,,,
yo te pido amor,yuri,yo te pido amor,0.485,0.778,2.0,-4.369,0.0488,0.625,0.0,0.196,0.324,83.106,225.04,16324653.0,11376795.0,45153.0,830.0,,,,
una mentira mã¡s,yuri,una mentira mã¡s,0.658,0.644,6.0,-6.433,0.0424,0.152,0.0,0.123,0.333,141.833,202.3,38392439.0,79709134.0,370141.0,11125.0,,,,
un aã±o mã¡s,yuri,un aã±o mã¡s,0.681,0.92,8.0,-3.579,0.0473,0.159,1.57e-06,0.807,0.785,94.002,236.2,5199541.0,13688461.0,137398.0,3867.0,,,,
ya no vives en mã­ (primera fila) (feat. carlos rivera) - en vivo,yuri,primera fila (en vivo),0.548,0.593,0.0,-6.296,0.0361,0.478,2.43e-06,0.436,0.506,94.084,261.333,56179285.0,138039272.0,302514.0,6200.0,,,,
ishqam,mika singh,ishqam,0.735,0.839,10.0,-4.263,0.0381,0.129,0.0,0.41,0.609,100.017,194.419,25044115.0,199126204.0,2136672.0,38090.0,,,,
bijli,mika singh,"bijli (from ""govinda naam mera"")",0.573,0.819,1.0,-6.246,0.256,0.306,1.13e-06,0.0653,0.862,108.786,174.0,5921975.0,44369882.0,346837.0,45716.0,,,,
subha hone na de,mika singh,desi boyz,0.727,0.9,8.0,-4.529,0.0452,0.0805,0.0464,0.154,0.505,131.97,288.696,39942425.0,190851352.0,901368.0,24702.0,,,,
neekemo andamekkuva,mika singh,waltair veerayya (original motion picture soundtrack),0.932,0.72,10.0,-8.136,0.164,0.236,0.00974,0.0516,0.917,109.986,212.182,1527728.0,337329.0,2664.0,15.0,,,,
"52 non stop dilbar dilbar remix(remix by kedrock,sd style)",mika singh,52 non stop dilbar dilbar remix,0.521,0.837,7.0,-4.501,0.0794,0.0593,1.28e-05,0.157,0.48,106.001,4581.483,23128326.0,8053055.0,62411.0,1257.0,,,,
mauja hi mauja,mika singh,jab we met,0.738,0.873,2.0,-5.659,0.107,0.075,0.0294,0.225,0.484,104.982,245.1,19316785.0,116826992.0,458870.0,10372.0,,,,
"aankh marey (from ""simmba"")",mika singh,"aankh marey (from ""simmba"")",0.796,0.978,5.0,-1.266,0.0955,0.289,0.00254,0.346,0.8,129.999,212.741,46628697.0,916982634.0,4160870.0,154872.0,,,,
sawan mein lag gayi aag,mika singh,ginny weds sunny (original motion picture soundtrack),0.792,0.813,0.0,-3.687,0.0513,0.388,2.29e-05,0.0541,0.868,130.058,226.615,38731862.0,7098378.0,50408.0,1857.0,,,,
pungi,mika singh,agent vinod,0.939,0.933,10.0,-2.688,0.0819,0.235,1.04e-06,0.0293,0.708,122.994,247.827,9155939.0,77041875.0,721461.0,10598.0,,,,
hawa hawa,mika singh,"hawa hawa (from ""mubarakan"")",0.825,0.798,7.0,-3.792,0.321,0.361,0.0,0.194,0.596,137.981,272.29,10911157.0,351927226.0,1237467.0,36604.0,,,,
olvã­dala,binomio de oro de amã©rica,2.000,0.533,0.734,2.0,-5.281,0.0369,0.148,0.0,0.221,0.61,132.216,304.118,90195368.0,,,,,,,
niã±a bonita,binomio de oro de amã©rica,30 mejores: binomio de oro de amã©rica,0.585,0.502,10.0,-6.909,0.0495,0.371,0.0,0.158,0.824,138.626,310.307,53041912.0,104788852.0,291320.0,10541.0,,,,
si tu amor no vuelve,binomio de oro de amã©rica,â¦que viva el vallenato!,0.754,0.575,0.0,-4.796,0.0359,0.385,0.0,0.28,0.816,128.15,294.64,50374741.0,110292869.0,298159.0,6016.0,,,,
quiero que seas mi estrella,binomio de oro de amã©rica,mas cerca de tã­,0.605,0.738,9.0,-3.241,0.0314,0.181,0.0,0.191,0.778,134.0,298.987,49210190.0,45929212.0,181909.0,5245.0,,,,
como te olvido,binomio de oro de amã©rica,30 mejores: binomio de oro de amã©rica,0.691,0.544,5.0,-8.889,0.0925,0.369,0.0,0.0922,0.939,136.398,290.733,42891997.0,973057.0,10215.0,90.0,,,,
me ilusione,binomio de oro de amã©rica,difã­cil de igualar,0.556,0.599,11.0,-4.316,0.031,0.333,0.0,0.0913,0.744,134.901,300.787,36480462.0,74157339.0,199255.0,4081.0,,,,
un osito dormilon,binomio de oro de amã©rica,2.000,0.505,0.69,0.0,-4.803,0.034,0.281,0.0,0.282,0.681,136.507,289.724,39112683.0,29558798.0,119172.0,2394.0,,,,
me vas a extraã±ar,binomio de oro de amã©rica,mas cerca de tã­,0.708,0.772,3.0,-2.085,0.031,0.293,0.0,0.0821,0.651,128.466,287.427,37918323.0,1251944.0,7038.0,34.0,,,,
dime como te olvido,binomio de oro de amã©rica,haciendo historia,0.487,0.659,1.0,-3.853,0.0312,0.38,0.0,0.0807,0.715,134.292,289.293,17204198.0,973057.0,10215.0,90.0,,,,
distintos destinos,binomio de oro de amã©rica,seguimos por lo alto,0.599,0.467,9.0,-7.598,0.0474,0.37,0.0,0.0519,0.383,126.506,221.093,24976498.0,21748.0,207.0,6.0,,,,
find a way,dwele,subject,0.712,0.657,10.0,-5.888,0.149,0.0577,0.0,0.234,0.437,97.993,249.573,11930818.0,3937557.0,32790.0,1179.0,,,,
i think i love you,dwele,some kinda...,0.549,0.491,0.0,-9.537,0.127,0.111,1.46e-05,0.0564,0.728,203.818,221.987,4495966.0,3338501.0,21764.0,711.0,,,,
open your eyes,dwele,sketches of a man,0.584,0.386,2.0,-9.579,0.0403,0.242,0.000578,0.076,0.295,94.937,201.267,8873781.0,355021.0,3387.0,141.0,,,,
truth,dwele,subject,0.758,0.512,9.0,-8.421,0.174,0.266,0.000174,0.126,0.738,91.544,236.133,3433834.0,87550.0,1140.0,78.0,,,,
move on up,dwele,rage,0.604,0.9,4.0,-6.459,0.13,0.0855,0.00181,0.0766,0.811,144.901,214.48,,53338815.0,296292.0,12780.0,,,,
a.n.g.e.l. - interlude,dwele,subject,0.684,0.396,10.0,-9.871,0.0327,0.486,0.00197,0.0683,0.166,96.984,139.645,1309212.0,104769.0,960.0,56.0,,,,
count the ways,dwele,detroit deli (a taste of detroit),0.789,0.637,1.0,-9.082,0.384,0.143,0.0,0.111,0.73,95.104,273.88,1433840.0,138060.0,2348.0,20.0,,,,
weekend love,dwele,some kinda...,0.473,0.267,3.0,-9.742,0.236,0.574,0.0,0.077,0.367,51.4,224.987,1554029.0,1281433.0,7038.0,432.0,,,,
i'm cheatin',dwele,sketches of a man,0.742,0.457,3.0,-7.523,0.0505,0.689,4.18e-06,0.188,0.451,92.038,222.8,2546073.0,2848514.0,16323.0,1053.0,,,,
brandi,dwele,sketches of a man,0.768,0.572,1.0,-8.533,0.29,0.62,2.25e-06,0.126,0.469,89.057,204.427,848497.0,271112.0,1718.0,158.0,,,,
